fighter,lore,cluster,fighting_style
BRAD TAVARES,"Born in the tough streets of their homeland, BRAD TAVARES discovered fighting as an escape from adversity. BRAD TAVARES brings a high-volume striking attack to every fight, throwing over 10.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
BRANDON DAVIS,"From humble origins, BRANDON DAVIS earned every opportunity on their journey to the UFC. BRANDON DAVIS brings a high-volume striking attack to every fight, throwing over 12.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
BRANDON MORENO,"Hailing from a small town, BRANDON MORENO grew up competing in underground circuits before making it to the big stage. BRANDON MORENO brings a high-volume striking attack to every fight, throwing over 12.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
BRANDON ROYVAL,"Hailing from a small town, BRANDON ROYVAL grew up competing in underground circuits before making it to the big stage. BRANDON ROYVAL brings a high-volume striking attack to every fight, throwing over 16.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
BRANDON THATCH,"From humble origins, BRANDON THATCH earned every opportunity on their journey to the UFC. As a versatile fighter, BRANDON THATCH maintains constant pressure with over 6.8 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
BRANDON VERA,"Hailing from a small town, BRANDON VERA grew up competing in underground circuits before making it to the big stage. As a versatile fighter, BRANDON VERA maintains constant pressure with over 9.8 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
BRENDAN ALLEN,"With roots in their homeland, BRENDAN ALLEN defied expectations to become a force in the octagon. In the octagon, BRENDAN ALLEN is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 14.1 significant strikes per minute with deadly accuracy.",1,
BRENDAN SCHAUB,"Hailing from a small town, BRENDAN SCHAUB grew up competing in underground circuits before making it to the big stage. BRENDAN SCHAUB brings a high-volume striking attack to every fight, throwing over 8.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
BRETT JOHNS,"Born in the tough streets of their homeland, BRETT JOHNS discovered fighting as an escape from adversity. BRETT JOHNS brings a high-volume striking attack to every fight, throwing over 8.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",5,
BRIAN EBERSOLE,"Hailing from a small town, BRIAN EBERSOLE grew up competing in underground circuits before making it to the big stage. BRIAN EBERSOLE brings a high-volume striking attack to every fight, throwing over 6.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
BRIAN FOSTER,"Hailing from a small town, BRIAN FOSTER grew up competing in underground circuits before making it to the big stage. BRIAN FOSTER brings a high-volume striking attack to every fight, throwing over 8.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
BRIAN JOHNSTON,"Hailing from a small town, BRIAN JOHNSTON grew up competing in underground circuits before making it to the big stage. A versatile fighter with strong grappling fundamentals, BRIAN JOHNSTON uses takedowns with 75% accuracy to bring fights to the mat, where they control the action and hunt for submissions.",1,
BRIAN KELLEHER,"Hailing from a small town, BRIAN KELLEHER grew up competing in underground circuits before making it to the big stage. BRIAN KELLEHER brings a high-volume striking attack to every fight, throwing over 6.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
BRIAN ORTEGA,"Born in the tough streets of their homeland, BRIAN ORTEGA discovered fighting as an escape from adversity. BRIAN ORTEGA brings a high-volume striking attack to every fight, throwing over 15.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
BRIAN STANN,"Hailing from a small town, BRIAN STANN grew up competing in underground circuits before making it to the big stage. BRIAN STANN brings a high-volume striking attack to every fight, throwing over 7.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
BROCK LARSON,"From humble origins, BROCK LARSON earned every opportunity on their journey to the UFC. BROCK LARSON excels as a versatile fighter with dominant grappling skills, controlling fights on the ground with 74% control time and 47% takedown accuracy, suffocating opponents with pressure and technique.",1,
BROCK LESNAR,"Born in the tough streets of their homeland, BROCK LESNAR discovered fighting as an escape from adversity. In the octagon, BROCK LESNAR is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 9.1 significant strikes per minute with deadly accuracy.",1,
BRUNNO FERREIRA,"Born in the tough streets of their homeland, BRUNNO FERREIRA discovered fighting as an escape from adversity. As a versatile fighter, BRUNNO FERREIRA maintains constant pressure with over 5.1 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",0,
BRUNO SILVA,"From humble origins, BRUNO SILVA earned every opportunity on their journey to the UFC. In the octagon, BRUNO SILVA is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 11.6 significant strikes per minute with deadly accuracy.",4,
BRYAN BARBERENA,"Born in the tough streets of their homeland, BRYAN BARBERENA discovered fighting as an escape from adversity. BRYAN BARBERENA brings a high-volume striking attack to every fight, throwing over 13.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
BRYAN BATTLE,"Born in the tough streets of their homeland, BRYAN BATTLE discovered fighting as an escape from adversity. BRYAN BATTLE brings a high-volume striking attack to every fight, throwing over 14.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
BRYAN CARAWAY,"From humble origins, BRYAN CARAWAY earned every opportunity on their journey to the UFC. BRYAN CARAWAY brings a high-volume striking attack to every fight, throwing over 7.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
BRYCE MITCHELL,"Hailing from a small town, BRYCE MITCHELL grew up competing in underground circuits before making it to the big stage. As a versatile fighter, BRYCE MITCHELL maintains constant pressure with over 5.8 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",5,
CAIN VELASQUEZ,"Hailing from a small town, CAIN VELASQUEZ grew up competing in underground circuits before making it to the big stage. In the octagon, CAIN VELASQUEZ is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 19.4 significant strikes per minute with deadly accuracy.",5,
CAIO BORRALHO,"From humble origins, CAIO BORRALHO earned every opportunity on their journey to the UFC. In the octagon, CAIO BORRALHO is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 11.9 significant strikes per minute with deadly accuracy.",1,
CAIO MAGALHAES,"With roots in their homeland, CAIO MAGALHAES defied expectations to become a force in the octagon. CAIO MAGALHAES brings a high-volume striking attack to every fight, throwing over 9.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
CALVIN KATTAR,"With roots in their homeland, CALVIN KATTAR defied expectations to become a force in the octagon. CALVIN KATTAR brings a high-volume striking attack to every fight, throwing over 33.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",9,
CAMERON SAAIMAN,"With roots in their homeland, CAMERON SAAIMAN defied expectations to become a force in the octagon. In the octagon, CAMERON SAAIMAN is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 29.0 significant strikes per minute with deadly accuracy.",9,
CAOL UNO,"From humble origins, CAOL UNO earned every opportunity on their journey to the UFC. CAOL UNO brings a high-volume striking attack to every fight, throwing over 5.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
CARLA ESPARZA,"From humble origins, CARLA ESPARZA earned every opportunity on their journey to the UFC. CARLA ESPARZA brings a high-volume striking attack to every fight, throwing over 8.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",5,
CARLOS CONDIT,"Born in the tough streets of their homeland, CARLOS CONDIT discovered fighting as an escape from adversity. CARLOS CONDIT brings a high-volume striking attack to every fight, throwing over 16.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
CARLOS FELIPE,"With roots in their homeland, CARLOS FELIPE defied expectations to become a force in the octagon. CARLOS FELIPE brings a high-volume striking attack to every fight, throwing over 14.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
CARLOS HERNANDEZ,"Hailing from a small town, CARLOS HERNANDEZ grew up competing in underground circuits before making it to the big stage. CARLOS HERNANDEZ brings a high-volume striking attack to every fight, throwing over 8.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
